spec_id,skill_id
13,94
13,64
13,95
13,75
13,78
13,113
13,38
13,108
13,43
13,20
13,85
13,106
13,11
13,81
13,101
13,68
13,134
13,25
13,58
13,79
11,109
11,165
11,85
11,134
11,146
11,94
11,63
11,33
11,71
11,80
11,6
11,19
11,43
11,56
11,42
11,108
11,28
11,7
11,76
11,73
11,9
11,11
11,27
11,69
11,60
11,46
11,38
11,17
11,129
11,100
11,40
11,74
11,92
11,98
11,31
11,44
11,8
11,21
11,52
11,130
11,51
11,97
11,78
11,93
11,114
11,87
11,112
11,81
11,45
11,110
11,96
11,144
11,90
11,125
11,15
11,30
11,89
11,59
11,41
12,109
12,94
12,132
12,10
12,34
12,163
12,87
12,134
12,85
12,112
12,33
12,71
12,19
12,150
12,143
12,110
12,137
12,78
12,133
12,2
12,165
12,156
12,159
12,80
12,166
12,142
12,89
12,164
12,42
12,66
12,152
12,81
12,73
12,88
12,40
12,101
12,103
12,171
12,14
12,121
1,109
1,120
1,98
1,13
1,8
1,107
1,52
1,21
1,54
1,162
1,127
1,5
1,169
1,134
1,144
1,102
1,128
1,153
1,56
1,99
1,86
1,123
1,119
1,85
1,47
1,124
1,111
1,49
1,133
1,94
1,57
1,71
1,96
1,80
1,1
1,38
1,63
1,170
1,48
1,36
1,17
1,10
1,18
1,72
1,155
1,67
1,138
3,151
3,102
3,52
3,150
3,158
3,167
3,135
3,169
3,138
3,149
3,145
3,57
3,21
3,22
3,153
3,70
3,84
3,117
3,148
3,155
3,34
3,67
3,39
3,77
15,50
15,38
15,109
15,8
15,83
15,73
15,85
15,136
15,126
15,27
15,98
15,118
15,37
15,62
15,53
15,134
15,96
15,17
15,52
15,12
15,54
15,102
15,107
15,7
15,36
15,57
15,116
7,142
7,132
7,24
7,105
7,18
7,34
7,2
7,29
7,91
7,141
7,121
7,32
9,139
9,124
9,119
9,36
9,82
9,157
9,3
9,122
9,18
9,116
9,55
9,67
9,65
9,4
9,61
10,161
10,172
10,167
10,131
10,160
10,147
10,140
10,109
10,8
10,98
10,52
10,38
10,86
10,104
10,21
10,54
10,102
10,107
10,127
10,111
10,168
10,169
10,26
10,50
10,16
10,134
10,35
10,136
10,115
10,23
10,124
10,57
10,41
10,126
10,122
